"filename", "language", "JSON with Comments", "JavaScript", "TypeScript", "CSS", "TypeScript JSX", "JSON", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\DrawingUpload.tsx", "TypeScript JSX", 0, 0, 0, 0, 108, 0, 0, 0, 0, 13, 121
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\EnhancedAnalysis.tsx", "TypeScript JSX", 0, 0, 0, 0, 359, 0, 0, 0, 6, 27, 392
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\ErrorBoundary.tsx", "TypeScript JSX", 0, 0, 0, 0, 47, 0, 0, 0, 2, 9, 58
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\Layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 120, 0, 0, 0, 3, 10, 133
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\Navigation.tsx", "TypeScript JSX", 0, 0, 0, 0, 65, 0, 0, 0, 0, 6, 71
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\OCRResultDisplay.tsx", "TypeScript JSX", 0, 0, 0, 0, 616, 0, 0, 0, 24, 36, 676
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\Playground.module.css", "CSS", 0, 0, 0, 47, 0, 0, 0, 0, 0, 7, 54
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\Playground.tsx", "TypeScript JSX", 0, 0, 0, 0, 523, 0, 0, 0, 13, 60, 596
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\ProgressWebSocket.tsx", "TypeScript JSX", 0, 0, 0, 0, 191, 0, 0, 0, 7, 28, 226
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\QuantityList.tsx", "TypeScript JSX", 0, 0, 0, 0, 267, 0, 0, 0, 11, 22, 300
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\RealTimeProgress.tsx", "TypeScript JSX", 0, 0, 0, 0, 160, 0, 0, 0, 8, 20, 188
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\RealTimeTaskMessages.css", "CSS", 0, 0, 0, 325, 0, 0, 0, 0, 14, 63, 402
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\RealTimeTaskMessages.tsx", "TypeScript JSX", 0, 0, 0, 0, 941, 0, 0, 0, 73, 98, 1112
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\RealTimeTaskMessagesNvidia.css", "CSS", 0, 0, 0, 301, 0, 0, 0, 0, 13, 55, 369
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\RealTimeTaskMonitor.css", "CSS", 0, 0, 0, 195, 0, 0, 0, 0, 5, 41, 241
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\RealTimeTaskMonitor.tsx", "TypeScript JSX", 0, 0, 0, 0, 586, 0, 0, 0, 37, 64, 687
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\SimpleOCRDisplay.tsx", "TypeScript JSX", 0, 0, 0, 0, 69, 0, 0, 0, 0, 11, 80
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\UploadTaskStatus.css", "CSS", 0, 0, 0, 192, 0, 0, 0, 0, 3, 38, 233
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\UploadTaskStatus.tsx", "TypeScript JSX", 0, 0, 0, 0, 454, 0, 0, 0, 28, 58, 540
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\auth\LoginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 80, 0, 0, 0, 2, 8, 90
